id,title,rating,date,MPA_rating
A283,"284. Source Code",7.5,"2011",PG-13
A284,"285. Mr. & Mrs. Smith",6.5,"2005",PG-13
A285,"286. Juno",7.4,"2007",PG-13
A286,"287. Rain Man",8.0,"1988",R
A287,"288. The Matrix Revolutions",6.7,"2003",R
A288,"289. The Amazing Spider-Man 2",6.6,"2014",PG-13
A289,"290. X-Men: The Last Stand",6.6,"2006",PG-13
A290,"291. Love Actually",7.6,"2003",R
A291,"292. Lucy",6.4,"2014",R
A292,"293. The Hangover Part II",6.5,"2011",R
A293,"294. X-Men Origins: Wolverine",6.5,"2009",PG-13
A294,"295. Hot Fuzz",7.8,"2007",R
A295,"296. Indiana Jones and the Temple of Doom",7.5,"1984",PG
A296,"297. Charlie and the Chocolate Factory",6.7,"2005",PG
A297,"298. American Sniper",7.3,"2014",R
A298,"299. Kung Fu Panda",7.6,"2008",PG
A299,"300. Children of Men",7.9,"2006",R
A300,"301. Pacific Rim",6.9,"2013",PG-13
A301,"302. Edward Scissorhands",7.9,"1990",PG-13
A302,"303. Rear Window",8.5,"1954",PG
A303,"304. Mission: Impossible - Ghost Protocol",7.4,"2011",PG-13
A304,"305. The Incredible Hulk",6.6,"2008",PG-13
A305,"306. Ice Age",7.5,"2002",PG
A306,"307. The Butterfly Effect",7.6,"2004",R
A307,"308. Aquaman",6.8,"2018",PG-13
A308,"309. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",8.3,"1964",PG
A309,"310. John Wick: Chapter 2",7.4,"2017",R
A310,"311. Little Miss Sunshine",7.8,"2006",R
A311,"312. Dallas Buyers Club",7.9,"2013",R
A312,"313. The Maze Runner",6.8,"2014",PG-13
A313,"314. Rush",8.1,"2013",R
A314,"315. Avatar: The Way of Water",7.5,"2022",PG-13
A315,"316. Hancock",6.4,"2008",R
A316,"317. Shrek 2",7.4,"2004",PG
A317,"318. It's a Wonderful Life",8.6,"1946",PG
A318,"319. Big Hero 6",7.8,"2014",PG
A319,"320. The Fifth Element",7.6,"1997",PG-13
A320,"321. Fantastic Beasts and Where to Find Them",7.2,"2016",PG-13
A321,"322. Top Gun",6.9,"1986",PG
A322,"323. The Hunger Games: Mockingjay - Part 1",6.6,"2014",PG-13
A323,"324. Spotlight",8.1,"2015",R
A324,"325. Tangled",7.7,"2010",PG
A325,"326. Star Wars: Episode IX - The Rise of Skywalker",6.4,"2019",PG-13
A326,"327. Ford v Ferrari",8.1,"2019",PG-13
A327,"328. Warrior",8.1,"2011",PG-13
A328,"329. The Terminal",7.4,"2004",PG-13
A329,"330. Ready Player One",7.4,"2018",PG-13
A330,"331. The Girl with the Dragon Tattoo",7.8,"2011",R
A331,"332. The Wolverine",6.7,"2013",PG-13
A332,"333. The Help",8.1,"2011",PG-13
A333,"334. American Hustle",7.2,"2013",R
A334,"335. Lost in Translation",7.7,"2003",R
A335,"336. Doctor Strange in the Multiverse of Madness",6.9,"2022",PG-13
A336,"337. Captain Phillips",7.8,"2013",PG-13
A337,"338. The Big Short",7.8,"2015",R
A338,"339. Star Trek Into Darkness",7.7,"2013",PG-13
A339,"340. We're the Millers",7.0,"2013",R
A340,"341. Twilight",5.3,"2008",PG-13
A341,"342. Divergent",6.6,"2014",PG-13
A342,"343. Indiana Jones and the Kingdom of the Crystal Skull",6.2,"2008",PG-13
A343,"344. Sicario",7.7,"2015",R
A344,"345. Mystic River",7.9,"2003",R
A345,"346. The Bourne Supremacy",7.7,"2004",PG-13
A346,"347. Dawn of the Planet of the Apes",7.6,"2014",PG-13
A347,"348. Back to the Future Part III",7.5,"1990",PG
A348,"349. Cars",7.3,"2006",G
A349,"350. The Day After Tomorrow",6.5,"2004",PG-13
A350,"351. The Devil Wears Prada",6.9,"2006",PG-13
A351,"352. The Theory of Everything",7.7,"2014",PG-13
A352,"353. The Thing",8.2,"1982",R
A353,"354. Training Day",7.8,"2001",R
A354,"355. Sherlock Holmes: A Game of Shadows",7.4,"2011",PG-13
A355,"356. Beauty and the Beast",8.0,"1991",G
A356,"357. Justice League",6.0,"2017",PG-13
A357,"358. War of the Worlds",6.5,"2005",PG-13
A358,"359. Gangs of New York",7.5,"2002",R
A359,"360. Saw",7.6,"2004",R
A360,"361. The Last Samurai",7.8,"2003",R
A361,"362. Mission: Impossible",7.2,"1996",PG-13
A362,"363. Aladdin",8.0,"1992",G
A363,"364. The Hurt Locker",7.5,"2008",R
A364,"365. The 40-Year-Old Virgin",7.1,"2005",R
A365,"366. Moneyball",7.6,"2011",PG-13
A366,"367. Quantum of Solace",6.5,"2008",PG-13
A367,"368. Elysium",6.6,"2013",R
A368,"369. Bullet Train",7.3,"2022",R
A369,"370. Scott Pilgrim vs. the World",7.5,"2010",PG-13
A370,"371. Spectre",6.8,"2015",PG-13
A371,"372. Citizen Kane",8.3,"1941",PG
A372,"373. The Mummy",7.1,"1999",PG-13
A373,"374. Horrible Bosses",6.9,"2011",R
A374,"375. X-Men: Apocalypse",6.8,"2016",PG-13
A375,"376. In Bruges",7.9,"2008",R
A376,"377. Wreck-It Ralph",7.7,"2012",PG
A377,"378. Howl's Moving Castle",8.2,"2004",PG
A378,"379. The Exorcist",8.1,"1973",R
A379,"380. Predator",7.8,"1987",R
A380,"381. Jumanji: Welcome to the Jungle",7.0,"2017",PG-13
A381,"382. The Da Vinci Code",6.6,"2006",PG-13
A382,"383. Glass Onion",7.1,"2022",PG-13
A383,"384. Passengers",7.0,"2016",PG-13
A384,"385. American Gangster",7.8,"2007",R
A385,"386. 28 Days Later",7.5,"2002",R
A386,"387. The Cabin in the Woods",7.0,"2011",R
A387,"388. Big Fish",8.0,"2003",PG-13
A388,"389. Ant-Man and the Wasp",7.0,"2018",PG-13
A389,"390. Ghostbusters",7.8,"1984",PG
A390,"391. Room",8.1,"2015",R
A391,"392. Tropic Thunder",7.1,"2008",R
A392,"393. Deadpool & Wolverine",7.6,"2024",R
A393,"394. Armageddon",6.7,"1998",PG-13
A394,"395. In Time",6.7,"2011",PG-13
A395,"396. The Princess Bride",8.0,"1987",PG
A396,"397. No Time to Die",7.3,"2021",PG-13
A397,"398. Jojo Rabbit",7.9,"2019",PG-13
A398,"399. Midnight in Paris",7.6,"2011",PG-13
A399,"400. Stand by Me",8.1,"1986",R
A400,"401. Brave",7.1,"2012",PG
A401,"402. The Shape of Water",7.3,"2017",R
A402,"403. King Kong",7.2,"2005",PG-13
A403,"404. Borat",7.4,"2006",R
A404,"405. Mean Girls",7.1,"2004",PG-13
A405,"406. Shang-Chi and the Legend of the Ten Rings",7.3,"2021",PG-13
A406,"407. The Lost World: Jurassic Park",6.6,"1997",PG-13
A407,"408. Free Guy",7.1,"2021",PG-13
A408,"409. Crash",7.7,"2004",R
A409,"410. Unbreakable",7.3,"2000",PG-13
A410,"411. Madagascar",6.9,"2005",PG
A411,"412. Princess Mononoke",8.3,"1997",PG-13
A412,"413. 3 Idiots",8.4,"2009",PG-13
A413,"414. The Breakfast Club",7.8,"1985",R
A414,"415. Alice in Wonderland",6.4,"2010",PG
A415,"416. Zack Snyder's Justice League",7.9,"2021",R
A416,"417. Godzilla",6.4,"2014",PG-13
A417,"418. Platoon",8.1,"1986",R
A418,"419. E.T. the Extra-Terrestrial",7.9,"1982",PG
A419,"420. Unforgiven",8.2,"1992",R
A420,"421. Bruce Almighty",6.8,"2003",PG-13
A421,"422. The Irishman",7.8,"2019",R
A422,"423. The Game",7.7,"1997",R
A423,"424. American Pie",7.0,"1999",R
A424,"425. John Wick: Chapter 3 - Parabellum",7.4,"2019",R
A425,"426. The Wizard of Oz",8.1,"1939",G
A426,"427. Collateral",7.5,"2004",R
A427,"428. Black Widow",6.6,"2021",PG-13
A428,"429. Amadeus",8.4,"1984",PG
A429,"430. This Is the End",6.6,"2013",R
